Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr,ssim,vmaf,
83,1.000001,1.000005,1.000000,1.000001,1.000001,3.388000,3.388000,0.999995,0.999996,0.999995,0.999995,60.000000,1.000000,100.000000,
84,1.000001,1.000005,1.000000,1.000001,1.000001,0.050180,3.846221,0.999995,0.999995,0.999995,0.999995,60.000000,1.000000,97.497584,
85,1.000001,1.000005,1.000000,1.000001,1.000001,0.050180,0.050180,0.999995,0.999995,0.999995,0.999995,60.000000,1.000000,97.497575,
86,1.000001,1.000005,1.000000,1.000001,1.000001,4.252335,4.535682,0.999995,0.999995,0.999995,0.999995,60.000000,1.000000,100.000000,
87,1.000001,1.000005,1.000000,1.000001,1.000001,0.023186,4.252335,0.999995,0.999996,0.999996,0.999995,60.000000,1.000000,97.460031,
88,1.000001,1.000005,1.000000,1.000001,1.000001,0.023186,0.023186,0.999995,0.999996,0.999995,0.999995,60.000000,1.000000,97.460051,
89,1.000001,1.000004,1.000000,1.000001,1.000001,0.031691,4.192070,0.999995,0.999995,0.999995,0.999995,60.000000,1.000000,97.471819,
90,1.000001,1.000004,1.000000,1.000001,1.000001,0.031691,0.031691,0.999995,0.999995,0.999995,0.999995,60.000000,1.000000,97.471807,
91,1.000001,1.000004,1.000000,1.000001,1.000001,3.887109,4.965299,0.999995,0.999995,0.999995,0.999995,60.000000,1.000000,100.000000,
92,1.000001,1.000006,1.000000,1.000001,1.000001,0.082531,3.887109,0.999995,0.999996,0.999995,0.999995,60.000000,1.000000,97.542675,
93,1.000001,1.000006,1.000000,1.000001,1.000000,0.082531,0.082531,0.999995,0.999996,0.999995,0.999995,60.000000,1.000000,97.542662,
94,1.000001,1.000006,1.000000,1.000001,1.000001,2.820988,2.820988,0.999995,0.999996,0.999995,0.999995,60.000000,1.000000,100.000000,
95,1.000001,1.000006,1.000000,1.000001,1.000001,0.074471,2.870681,0.999995,0.999996,0.999995,0.999995,60.000000,1.000000,97.531470,
96,1.000001,1.000006,1.000000,1.000001,1.000000,0.074471,0.074471,0.999996,0.999996,0.999996,0.999995,60.000000,1.000000,97.531467,
97,1.000001,1.000006,1.000000,1.000001,1.000001,2.431055,3.320507,0.999995,0.999996,0.999995,0.999995,60.000000,1.000000,100.000000,
98,1.000001,1.000006,1.000000,1.000001,1.000000,0.114731,2.431055,0.999995,0.999996,0.999995,0.999995,60.000000,1.000000,97.587549,
99,1.000001,1.000006,1.000000,1.000001,1.000001,0.114731,0.114731,0.999996,0.999996,0.999995,0.999995,60.000000,1.000000,97.587568,
100,1.000001,1.000006,1.000001,1.000001,1.000001,1.867697,1.867697,0.999996,0.999996,0.999996,0.999995,60.000000,1.000000,100.000000,
101,1.000002,1.000007,1.000000,1.000001,1.000001,0.034024,2.396059,0.999996,0.999996,0.999996,0.999995,60.000000,1.000000,97.475196,
102,1.000002,1.000007,1.000000,1.000001,1.000001,0.034024,0.034024,0.999996,0.999996,0.999996,0.999995,60.000000,1.000000,97.475205,
103,1.000001,1.000006,1.000000,1.000001,1.000001,2.454061,2.454061,0.999996,0.999996,0.999996,0.999995,60.000000,1.000000,100.000000,
104,1.000002,1.000007,1.000000,1.000001,1.000001,0.034346,2.594873,0.999995,0.999996,0.999996,0.999995,60.000000,1.000000,97.475648,
105,1.000002,1.000007,1.000000,1.000001,1.000001,0.034346,0.034346,0.999995,0.999996,0.999995,0.999995,60.000000,1.000000,97.475633,
106,1.000001,1.000006,1.000000,1.000001,1.000001,2.550722,2.550722,0.999995,0.999996,0.999995,0.999995,60.000000,1.000000,100.000000,
107,1.000001,1.000006,1.000000,1.000001,1.000001,0.021260,2.590308,0.999995,0.999996,0.999995,0.999995,60.000000,1.000000,97.457341,
108,1.000002,1.000006,1.000000,1.000001,1.000001,0.021260,0.021260,0.999995,0.999995,0.999995,0.999995,60.000000,1.000000,97.457363,
109,1.000002,1.000006,1.000000,1.000001,1.000001,2.848550,2.848550,0.999995,0.999995,0.999995,0.999995,60.000000,1.000000,100.000000,
110,1.000002,1.000006,1.000001,1.000001,1.000001,0.073832,3.437256,0.999995,0.999995,0.999995,0.999995,60.000000,1.000000,97.530537,
111,1.000001,1.000006,1.000000,1.000001,1.000000,0.073832,0.073832,0.999995,0.999995,0.999995,0.999995,60.000000,1.000000,97.530538,
112,1.000001,1.000006,1.000000,1.000001,1.000001,2.591732,2.591732,0.999995,0.999995,0.999995,0.999994,60.000000,1.000000,100.000000,
113,1.000001,1.000006,1.000000,1.000001,1.000001,0.050403,2.705003,0.999995,0.999995,0.999995,0.999994,60.000000,1.000000,97.497871,
114,1.000001,1.000006,1.000000,1.000001,1.000001,0.050403,0.050403,0.999995,0.999995,0.999995,0.999995,60.000000,1.000000,97.497887,
115,1.000001,1.000006,1.000000,1.000001,1.000001,2.305832,2.325356,0.999995,0.999995,0.999995,0.999995,60.000000,1.000000,100.000000,
116,1.000001,1.000006,1.000000,1.000001,1.000001,0.003868,2.305832,0.999995,0.999995,0.999995,0.999995,60.000000,1.000000,97.433034,
117,1.000001,1.000006,1.000000,1.000001,1.000001,0.003868,0.003868,0.999995,0.999995,0.999995,0.999995,60.000000,1.000000,97.433040,
118,1.000001,1.000006,1.000000,1.000001,1.000001,0.001152,2.308391,0.999995,0.999995,0.999995,0.999994,60.000000,1.000000,97.429268,
119,1.000002,1.000006,1.000000,1.000001,1.000001,0.001152,0.001152,0.999995,0.999995,0.999995,0.999995,60.000000,1.000000,97.429288,
120,1.000002,1.000007,1.000000,1.000001,1.000000,2.291223,2.701303,0.999994,0.999995,0.999995,0.999994,60.000000,1.000000,100.000000,
121,1.000002,1.000006,1.000000,1.000001,1.000001,0.134060,2.291223,0.999994,0.999995,0.999995,0.999994,60.000000,1.000000,97.614364,
122,1.000002,1.000006,1.000000,1.000001,1.000001,0.134060,0.134060,0.999995,0.999995,0.999995,0.999994,60.000000,1.000000,97.614363,
123,1.000001,1.000005,1.000000,1.000001,1.000001,2.575686,2.575686,0.999995,0.999995,0.999995,0.999994,60.000000,1.000000,100.000000,
124,1.000001,1.000005,1.000000,1.000001,1.000000,0.185865,3.331148,0.999994,0.999995,0.999995,0.999994,60.000000,1.000000,97.686401,
125,1.000001,1.000005,1.000000,1.000001,1.000000,0.185865,0.185865,0.999994,0.999995,0.999994,0.999994,60.000000,1.000000,97.686384,
126,1.000001,1.000004,1.000000,1.000001,1.000001,3.540212,3.540212,0.999994,0.999995,0.999994,0.999994,60.000000,1.000000,100.000000,
127,1.000001,1.000004,1.000000,1.000001,1.000001,0.035075,4.274136,0.999994,0.999994,0.999994,0.999994,60.000000,1.000000,97.476400,
128,1.000001,1.000004,1.000000,1.000001,1.000001,0.035075,0.035075,0.999994,0.999994,0.999994,0.999994,60.000000,1.000000,97.476414,
129,1.000001,1.000004,1.000000,1.000001,1.000000,4.136672,4.607772,0.999994,0.999994,0.999994,0.999994,60.000000,1.000000,100.000000,
130,1.000001,1.000004,1.000000,1.000001,1.000001,0.113881,4.136672,0.999993,0.999994,0.999994,0.999993,60.000000,1.000000,97.586078,
131,1.000001,1.000004,1.000000,1.000001,1.000000,0.113881,0.113881,0.999993,0.999994,0.999994,0.999993,60.000000,1.000000,97.586067,
132,1.000001,1.000004,1.000000,1.000001,1.000000,3.924424,4.203897,0.999993,0.999994,0.999994,0.999993,60.000000,1.000000,100.000000,
133,1.000001,1.000004,1.000000,1.000001,1.000001,0.063625,3.924424,0.999993,0.999994,0.999994,0.999993,60.000000,1.000000,97.516101,
134,1.000001,1.000004,1.000000,1.000001,1.000001,0.063625,0.063625,0.999993,0.999994,0.999994,0.999993,60.000000,1.000000,97.516116,
135,1.000001,1.000003,1.000000,1.000001,1.000001,2.339107,3.031967,0.999994,0.999994,0.999994,0.999993,60.000000,1.000000,100.000000,
136,1.000001,1.000005,1.000000,1.000001,1.000001,0.030357,2.339107,0.999994,0.999994,0.999994,0.999994,60.000000,1.000000,97.469829,
137,1.000001,1.000005,1.000000,1.000001,1.000000,0.030357,0.030357,0.999994,0.999994,0.999994,0.999994,60.000000,1.000000,97.469830,
138,1.000001,1.000005,1.000000,1.000001,1.000001,1.903511,1.903511,0.999994,0.999994,0.999994,0.999994,60.000000,1.000000,100.000000,
139,1.000001,1.000004,1.000000,1.000001,1.000000,0.073999,4.287143,0.999994,0.999994,0.999994,0.999993,60.000000,1.000000,97.530552,
140,1.000001,1.000004,1.000000,1.000001,1.000000,0.073999,0.073999,0.999994,0.999994,0.999994,0.999993,60.000000,1.000000,97.530546,
141,1.000001,1.000005,1.000000,1.000001,1.000000,1.980981,3.858912,0.999994,0.999994,0.999994,0.999994,60.000000,1.000000,100.000000,
142,1.000001,1.000006,1.000000,1.000001,1.000000,0.053774,1.980981,0.999994,0.999994,0.999994,0.999994,60.000000,1.000000,97.502441,
143,1.000001,1.000006,1.000000,1.000001,1.000000,0.053774,0.053774,0.999994,0.999994,0.999994,0.999994,60.000000,1.000000,97.502458,
144,1.000001,1.000005,1.000000,1.000001,1.000001,1.944420,1.944420,0.999994,0.999994,0.999994,0.999993,60.000000,1.000000,100.000000,
145,1.000001,1.000005,1.000000,1.000001,1.000001,0.012880,2.866903,0.999994,0.999994,0.999994,0.999993,60.000000,1.000000,97.445434,
146,1.000001,1.000005,1.000000,1.000001,1.000001,0.012880,0.012880,0.999994,0.999994,0.999994,0.999993,60.000000,1.000000,97.445435,
147,1.000001,1.000004,1.000000,1.000001,1.000001,0.172116,1.166660,0.999994,0.999994,0.999994,0.999994,60.000000,1.000000,97.667163,
148,1.000001,1.000004,1.000000,1.000001,1.000001,0.172116,0.172116,0.999994,0.999994,0.999994,0.999993,60.000000,1.000000,97.667147,
149,1.000001,1.000003,1.000000,1.000001,1.000001,2.429699,2.429699,0.999992,0.999993,0.999993,0.999993,60.000000,1.000000,100.000000,
150,1.000001,1.000003,1.000000,1.000001,1.000001,0.000000,5.973830,0.999992,0.999992,0.999992,0.999993,60.000000,1.000000,97.427318,
